name,value
Silk Snare,25
Silk Boss Needle,12
lightning_water_travel DamageHero,2
lightning_rod_explode DamageEnemies,3
Tool Tack,2
Weaver Bomb Blast,16
hero_dazzle_flash_witchy_upgraded,30
lightning_bola_explode DamageEnemies,3
Hero Conch Projectile,2
lightning_bola_explode_hero DamageHero,2
Clockwork Hatchling,3
hero_dazzle_flash_upgraded_shaman,10
Tool_pinpilo_explosion DamageHero,2
Hero Shakra Ring,4
Tool Wheel,2
hero_dazzle_flash_upgraded,30
Fisherpin,5
Tool_pinpilo_explosion DamageEnemies,15
Curve Claw Upgraded,4
hero_dazzle_flash,15
Tool TriPin,4
WebShot Bullet W,10
WebShot Bullet F,6
Tool Pin,5
hero_dazzle_flash_shaman,5
Screw Attack,4
Tool Barb,2
hero_dazzle_flash_witchy,15
Curve Claw,3
Tool_brolly_spike,13
WebShot Bullet,5
WebShot Bullet A,3
lightning_bola_explode DamageHero,1
song_knight_vs_enemy,13
lightning_rod_explode DamageHero,2
lightning_water_travel DamageEnemies,8
lightning_bola_explode_hero DamageEnemies,3
Revenge Crystal Hornet,20
Tool Barb Spine,4
Tool Lightning Rod Throw Damager,5
Hero Silk Snare Loop Damager,7
